 Seconds,Date_Time,CO2ppm,WVppt,RefBP,TC1,TC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,62582.48,1.2604,10.046,102.5501,23.5845,27.9467,2.5038,20.03,19.88,0,23.43,10.96,7.69,102.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-2.37E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62582.48,1.247,9.0073,102.5504,23.6587,27.9492,2.5053,19.97,19.82,0,23.43,10.99,7.71,102.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-2.81E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,62582.48,1.2464,8.9458,102.5507,23.6603,27.9499,2.5057,20.02,19.83,0,23.46,10.99,8.15,102.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-2.45E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,62582.48,1.243,8.8745,102.5435,23.6648,27.9564,2.5047,19.98,19.82,0,23.46,10.99,7.69,102.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-1.75E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,62582.48,1.244,8.8172,102.545,23.6662,27.9479,2.5044,19.99,19.81,0,23.46,10.99,8.41,102.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-1.25E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,62582.48,1.2388,8.7651,102.5418,23.668,27.9478,2.5037,19.94,19.78,0,23.46,10.99,7.8,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-8.81E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,62582.48,1.2439,8.7026,102.5464,23.6685,27.9456,2.5039,19.94,19.8,0,23.46,10.99,8.07,102.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-3.92E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,62582.48,1.2428,8.6553,102.5509,23.6702,27.947,2.5033,19.94,19.82,0,23.46,10.99,7.71,102.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79663,-4.57E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,62582.48,1.2343,8.5907,102.5501,23.6772,27.9511,2.5033,19.98,19.79,0,23.46,10.99,7.78,102.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79929,3.17E-08,6.27E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,62582.48,1.2306,8.5394,102.5459,23.685,27.954,2.5016,19.96,19.79,0,23.46,10.99,7.71,102.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79482,6.54E-08,1.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
