Seconds,Date_Time,CO2ppm,WVppt,RefBP,Volts_4,Volts_5,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,325.6022,2.3691,24.9224,99.4543,2.5039,2.5043,2.5038,20.03,18.29,15,25.32,33.91,5.84,99.609,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,18.37842,3.919833E-06,7.204033E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.204033E-05,0
1,325.6022,3.1626,24.9212,99.4713,2.5024,2.5039,2.5052,20.02,18.42,15,25.32,34.05,5.82,99.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.891525E-06,7.152007E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.152007E-05,0
2,325.6022,3.2247,24.9209,99.4689,2.5029,2.5047,2.5039,20.04,18.39,15,25.32,34.05,6.09,99.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.89072E-06,7.150527E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.150527E-05,0
3,325.6022,3.2586,24.9194,99.4654,2.5033,2.5043,2.5042,19.98,18.37,15,25.32,34.05,5.75,99.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.892906E-06,7.154544E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.154544E-05,0
4,325.6022,3.3132,24.9205,99.461,2.5031,2.5056,2.5033,19.95,18.33,15,25.32,34.05,6.44,99.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.881996E-06,7.134494E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.134494E-05,0
5,325.6022,3.3577,24.9206,99.4597,2.5033,2.5046,2.5033,19.95,18.36,15,25.32,34.05,5.83,99.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.86992E-06,7.112299E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.112299E-05,0
6,325.6022,3.4024,24.9199,99.4606,2.5034,2.5043,2.5032,20.02,18.41,15,25.32,34.05,5.88,99.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.857827E-06,7.090075E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.090075E-05,0
7,325.6022,3.4589,24.9222,99.4571,2.503,2.504,2.5032,19.97,18.38,15,25.32,34.05,6.06,99.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37842,3.848333E-06,7.072627E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.072627E-05,0
8,325.6022,3.4899,24.9213,99.4594,2.5029,2.5038,2.5024,19.91,18.31,15,25.32,34.05,6.36,99.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35903,3.849595E-06,7.067483E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.067483E-05,0
9,325.6022,3.5041,24.9209,99.4557,2.5016,2.5046,2.5032,20.08,18.4,15,25.32,34.05,5.84,99.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35468,3.839336E-06,7.046978E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.046978E-05,0
10,325.6022,3.5435,24.9191,99.4558,2.5005,2.5041,2.5047,20.09,18.43,15,25.32,34.05,5.81,99.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35049,3.829536E-06,7.027386E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.027386E-05,0
