"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state"
1,"1",3.444,76.5,23.62,0.299,0.095,"Inactive"
1,"2",5.724,2176.5,25.56,0.256,0.085,"Inactive"
2,"1",2.286,196.5,23.87,0.871758241758242,0.43,"Active"
2,"2",4.479,2296.5,25.56,0.3684,0.11,"Inactive"
3,"1",4.581,316.5,24.24,0.351304347826087,0.08,"Inactive"
3,"2",5.136,2416.5,25.56,2.915,2.915,"Active"
4,"1",5.547,436.5,24.49,0.694038461538461,0.21,"Active"
4,"2",5.031,2536.5,25.54,0.552777777777778,0.14,"Active"
5,"1",4.401,556.5,24.79,0.847254901960784,0.175,"Active"
5,"2",4.14,2656.5,25.53,0.548157894736842,0.235,"Active"
6,"1",8.64,676.5,25.005,0.660701754385965,0.15,"Active"
6,"2",8.46,2776.5,25.51,1.83642857142857,0.63,"Active"
7,"1",4.236,796.5,25.16,1.26466101694915,0.435,"Active"
7,"2",3.99,2896.5,25.49,0.525081967213115,0.2,"Active"
8,"1",5.532,916.5,25.27,0.256,0.085,"Inactive"
8,"2",4.848,3016.5,25.48,0.570131578947368,0.21,"Active"
9,"1",5.628,1036.5,25.38,1.02758620689655,0.345,"Active"
9,"2",5.07,3136,25.47,0.437547169811321,0.17,"Inactive"
10,"1",7.59,1156.5,25.44,0.827874015748031,0.38,"Active"
10,"2",5.877,3255.5,25.46,0.553191489361702,0.14,"Active"
11,"1",7.2,1276.5,25.51,0.839873417721519,0.28,"Active"
11,"2",5.886,3375.5,25.46,0.802622950819672,0.23,"Active"
12,"1",5.55,1396.5,25.54,0.5136,0.2,"Active"
12,"2",4.086,3495.5,25.45,0.813428571428571,0.34,"Active"
13,"1",1.224,1516.5,25.57,NA,NA,NA
13,"2",0.711,3615.5,25.45,0.549326923076923,0.265,"Active"
14,"1",1.554,1636.5,25.57,0.38,0.155,"Inactive"
14,"2",1.32,3735.5,25.45,1.09421875,0.245,"Active"
15,"1",1.185,1756.5,25.58,0.926888888888889,0.4,"Active"
15,"2",1.245,3855.5,25.45,0.388636363636364,0.185,"Inactive"
16,"1",0.2658,1872,25.57,0.868505747126437,0.37,"Active"
16,"2",0.5073,3975.5,25.45,1.38094827586207,1.045,"Active"
